stratum,center_log10_s,half_width_dex,all_completed_candidates,traced_candidates,selected_replays,median_log10_lifetime_s,median_capture_radius_Rsun,median_capture_energy_eV,median_outside_fraction,recapture_fraction,median_scatter_count
short_peak,2.485795454545455,0.25,2087,224,100,2.4869760138129315,0.5041170921034344,-8.620025437974135,0.3791398342972104,0.34,12.0
valley,3.440340909090909,0.18,496,50,50,3.4264697909193007,0.5027116800571071,-18.65594317642325,0.10720185972311248,0.44,15.5
long_peak,4.036931818181818,0.25,1054,110,100,4.039554004027121,0.5881612102195332,-10.340448528077607,0.7480443087914176,0.28,7.0
