# DM_mass_GeV = 5.000000e-02
# DM_sigma_cm2 = 1.000000e-35
# total_trajectories = 58109
# captured_particles = 10054
# bincount_integration = conservative-hermite-radial-v1
# bincount_dense_position_tolerance_km = 1.391400e+00
# capture_rate = 0.17301967
# capture_rate_raw = 0.17301967
# capture_rate_err = 0.00156918
# capture_rate_raw_err = 0.00156918
# capture_rate_CI_95_lower = 0.16996571
# capture_rate_CI_95_upper = 0.17611686
# capture_rate_raw_CI_95_lower = 0.16996571
# capture_rate_raw_CI_95_upper = 0.17611686
# valid_trajectories = 58058
# completed_outward_escapes = 48004
# unresolved_not_captured_trajectories = 51
# numerical_failures = 56
# computational_truncations = 0
# initial_shift_failures = 0
# final_reflection_shift_failures = 0
# normal_mode_mpi_sync_interval = 64
# mpi_sync_rounds = 186
# final_mpi_round_trajectories = 256
# mpi_tail_trajectories = 10493
# capture_target_overshoot = 54
# total_scatterings = 129604
# average_scatterings = 2.230360185169
# simulation_time_seconds = 11.080737000000
# capture_rate_valid = 0.17317166
# capture_rate_valid_err = 0.00157042
# capture_rate_valid_CI_95_lower = 0.17011529
# capture_rate_valid_CI_95_upper = 0.17627127
# numerical_failure_rate = 0.00096371
# not_captured_bincount_samples = 48004
# excluded_incomplete_not_captured = 51
# bin_index  cap_dt[s]  cap_v2dt[km2/s]  cap_err_dt[s]  cap_err_v2dt[km2/s]  not_cap_dt[s]  not_cap_v2dt[km2/s]  not_cap_err_dt[s]  not_cap_err_v2dt[km2/s]
0	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
2	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
3	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
4	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
5	8.7166193297e+00	2.7253006521e+07	4.2474329181e+00	1.3544268605e+07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
6	2.0796348379e+01	9.4687153179e+07	7.9677382071e+00	3.3102226483e+07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
7	2.4669342436e+01	8.6943901453e+07	8.1189258470e+00	2.5992363756e+07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
8	2.7021910624e+01	1.0499198504e+08	7.6646528222e+00	2.9297267187e+07	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9	2.8379595660e+01	1.1472547043e+08	7.1669674370e+00	2.9999327439e+07	3.5989392547e+00	9.0427382889e+06	3.5989017687e+00	9.0426441011e+06
10	3.8589423240e+01	1.3581129817e+08	1.0272754460e+01	3.1784075320e+07	3.6184236969e+00	9.9401376768e+06	2.5585937793e+00	7.0571934297e+06
11	4.0255712928e+01	1.4047844265e+08	9.4471447317e+00	2.9994484188e+07	5.5384245159e+00	3.2213695768e+07	3.2859748506e+00	2.2776179418e+07
12	6.1058126004e+01	2.2813664200e+08	1.3252869176e+01	4.9059521091e+07	8.5999039866e+00	3.5027566729e+07	4.0226739461e+00	1.7196887190e+07
13	6.5217236383e+01	2.6066317451e+08	1.2840104700e+01	5.1186712469e+07	1.0448670071e+01	4.2300775962e+07	4.6347580685e+00	1.8342008416e+07
14	8.2999506383e+01	3.2317624385e+08	1.3540073377e+01	5.3368949802e+07	1.2746353107e+01	8.7532188541e+07	4.4708618791e+00	3.7800750055e+07
15	9.8167533883e+01	3.9391541057e+08	1.4806552804e+01	5.9835925870e+07	1.4419135832e+01	8.3683487984e+07	4.9888858462e+00	3.0520751781e+07
16	1.2720999382e+02	4.9584936113e+08	1.9616842364e+01	7.5763951484e+07	2.2723618990e+01	1.0968145187e+08	6.9248018496e+00	3.2710853733e+07
17	1.4854596109e+02	5.7840983352e+08	2.0903612918e+01	8.2226526337e+07	2.1801868460e+01	1.1671771646e+08	5.8335430519e+00	3.2051739726e+07
18	1.5424809769e+02	5.3020585902e+08	2.1173743707e+01	6.7187941061e+07	2.9426600335e+01	1.4355584265e+08	7.4462380771e+00	3.7522678259e+07
19	1.7547540726e+02	6.7667133461e+08	2.3367967329e+01	8.5452363450e+07	2.9597184927e+01	1.5642426155e+08	7.0930636142e+00	3.9097451515e+07
20	1.8532606034e+02	7.6346178771e+08	2.5539990342e+01	9.6335784085e+07	2.4211361330e+01	1.2774320663e+08	5.5157338666e+00	3.0527899961e+07
21	1.9452837006e+02	7.9682719257e+08	2.4405541586e+01	1.0184083270e+08	2.1663398196e+01	1.1323080911e+08	4.8743680635e+00	2.6299886344e+07
22	2.1286602739e+02	8.7061512973e+08	2.4621031121e+01	1.0672848417e+08	3.4591927343e+01	1.8026657335e+08	9.0009280573e+00	4.8713946027e+07
23	2.2895236383e+02	9.2626791416e+08	2.7045205438e+01	1.0568536959e+08	3.5503165370e+01	1.8527162342e+08	8.4134549824e+00	4.4007859507e+07
24	2.5063690331e+02	1.0401330896e+09	2.9001948625e+01	1.1797477705e+08	3.8079520302e+01	1.9965226062e+08	9.6318720156e+00	5.0760279844e+07
25	2.6165388790e+02	1.0455988012e+09	2.9342431128e+01	1.0932889596e+08	3.9704755649e+01	2.1647165441e+08	9.0978349667e+00	5.0784582957e+07
