# DaMaSCUS-SUN evaporation times
# format_version = 3
# DM_mass_GeV = 1.000000e-02
# DM_sigma_cm2 = 1.000000e-35
# sorted_by = lifetime_unbinding_sec rank trajectory_id
# rank trajectory_id lifetime_unbinding_sec
3	13000	5.1655865149e-02
0	10379	6.7919047580e-02
1	1713	1.1470991320e-01
3	1004	1.4067928889e-01
0	10486	1.4947192557e-01
0	12270	1.5803451140e-01
1	6173	2.5518659973e-01
2	9899	2.6256333778e-01
0	187	3.2611924972e-01
2	12460	4.0367483113e-01
2	13221	4.1087061280e-01
2	9076	4.1888643219e-01
2	13262	4.4495718571e-01
2	3618	5.1383720126e-01
1	6350	5.4752055052e-01
3	8032	5.9245032622e-01
3	12877	6.9136024761e-01
1	16099	7.2019846473e-01
3	9879	7.5297010318e-01
2	13030	7.6173969606e-01
3	14741	7.8533725242e-01
1	16655	7.8570687122e-01
1	359	8.5222147335e-01
0	4695	9.7503411285e-01
0	5178	9.8119170246e-01
1	17286	1.0264168515e+00
3	5947	1.0273977234e+00
3	11372	1.0303522168e+00
0	14398	1.0452318196e+00
1	14028	1.2092411263e+00
1	13947	1.2501616420e+00
2	4209	1.2670303849e+00
0	9132	1.3210928993e+00
2	7010	1.3770451669e+00
3	8693	1.4045759744e+00
3	8893	1.4325472348e+00
0	12114	1.4524595494e+00
1	12130	1.4731527102e+00
3	12281	1.4770270450e+00
0	13384	1.5095894119e+00
1	5392	1.5366138757e+00
3	13731	1.5846622949e+00
3	1965	1.6238251331e+00
1	2742	1.6319207765e+00
1	7299	1.6748586088e+00
2	16236	1.8597720043e+00
3	5050	1.8636503053e+00
0	7764	1.8863216376e+00
0	5942	1.9182148791e+00
1	7732	1.9523992420e+00
1	17280	1.9843340177e+00
1	6799	2.0181276217e+00
3	7581	2.0384957492e+00
0	12681	2.0936024956e+00
2	15181	2.1095136519e+00
0	9983	2.1268884186e+00
0	14294	2.1566822847e+00
2	7382	2.2060883569e+00
2	10883	2.2092422304e+00
1	12083	2.2294232503e+00
1	9436	2.2477547121e+00
3	9097	2.3272937740e+00
2	9630	2.4643315506e+00
0	5189	2.4743811283e+00
2	7811	2.4747011093e+00
2	15176	2.5174757702e+00
0	11054	2.5235707190e+00
0	9272	2.5277276857e+00
3	3516	2.5445467593e+00
1	8094	2.5492392001e+00
0	16318	2.5542533528e+00
3	5735	2.6323892347e+00
0	9797	2.6542406289e+00
2	10405	2.6726812190e+00
3	476	2.6780416738e+00
0	11936	2.6866923604e+00
3	14099	2.7198264480e+00
2	12086	2.7709653274e+00
1	2373	2.7725930409e+00
1	14442	2.8516990291e+00
2	2978	2.9697694826e+00
3	14134	3.0079063556e+00
2	475	3.0460446571e+00
0	13224	3.0877502846e+00
3	8497	3.0944516195e+00
0	6365	3.1022025869e+00
2	6745	3.1022350134e+00
3	15647	3.1039862155e+00
3	5877	3.1082705263e+00
1	13782	3.1999119355e+00
1	3511	3.3125539564e+00
2	11877	3.4271306689e+00
3	14085	3.5750819505e+00
3	10392	3.5802521651e+00
1	10408	3.6355031381e+00
0	16815	3.6654660476e+00
0	3103	3.7431078779e+00
1	16778	3.7803725608e+00
3	9432	3.8064229348e+00
2	4784	3.8410545108e+00
1	16672	3.8656725400e+00
2	5355	3.8776102566e+00
2	6859	3.8847382281e+00
1	15579	3.9856475071e+00
3	12591	4.0293386466e+00
1	9365	4.0560098480e+00
3	7234	4.0659837588e+00
2	455	4.0777889383e+00
0	1735	4.0901839931e+00
0	3184	4.0925796969e+00
2	6361	4.2747520855e+00
0	3638	4.3079595161e+00
1	9931	4.3449813374e+00
2	12431	4.4188882287e+00
1	5183	4.4227609785e+00
2	4914	4.4573211433e+00
0	14490	4.4897210000e+00
2	16004	4.5428897171e+00
3	15935	4.5519535350e+00
0	95	4.5871610493e+00
3	8279	4.5907955756e+00
1	9724	4.6960464398e+00
2	8265	4.7665879016e+00
2	5359	4.7685465330e+00
1	13126	4.7860071093e+00
3	3462	4.8122264576e+00
1	9715	4.8626257680e+00
2	3693	4.8823544770e+00
2	12635	4.9071311639e+00
3	4356	4.9485786089e+00
3	6629	4.9582752266e+00
1	15057	4.9616508746e+00
1	2959	4.9764965905e+00
1	14673	4.9826857494e+00
1	6698	5.0049232150e+00
0	15982	5.0991907672e+00
0	9609	5.1668312198e+00
0	10039	5.2006730973e+00
0	3254	5.2099764542e+00
1	4836	5.3133825418e+00
3	15236	5.3200806507e+00
1	13712	5.4177221397e+00
1	7618	5.4345554351e+00
0	9401	5.4397219552e+00
3	1894	5.4722815374e+00
0	11253	5.5645539847e+00
1	7181	5.6086145528e+00
2	11159	5.7102876875e+00
3	6997	5.7541038913e+00
1	13886	5.7587067798e+00
1	4521	5.8983924294e+00
1	2949	5.9065628788e+00
3	15816	6.0025631374e+00
3	12918	6.0183571197e+00
1	15624	6.0399080508e+00
1	4282	6.0910557106e+00
0	9261	6.0989733188e+00
2	13953	6.1608495040e+00
0	6870	6.1880981329e+00
0	8891	6.2068921637e+00
1	2116	6.2485213195e+00
3	5533	6.3193805132e+00
3	17137	6.3432307486e+00
3	10083	6.3506183450e+00
3	119	6.3693431615e+00
2	14407	6.3726758490e+00
3	12251	6.4133590982e+00
1	12128	6.4303924392e+00
2	8069	6.4606461686e+00
3	3405	6.5378422873e+00
0	14226	6.6130036988e+00
2	13800	6.6516836222e+00
1	13163	6.6605667563e+00
2	10599	6.6638256583e+00
0	15880	6.6886697977e+00
2	16559	6.7037420798e+00
0	12581	6.7320481108e+00
1	1505	6.7406553207e+00
2	12195	6.7935304441e+00
2	1205	6.8088135898e+00
1	14274	6.8119072291e+00
2	6880	6.8662986618e+00
3	11097	6.9141804002e+00
3	16076	6.9511071479e+00
0	5057	6.9919735701e+00
0	491	7.0361167048e+00
0	8417	7.0920425938e+00
1	4001	7.1633537601e+00
1	406	7.1676700794e+00
3	14535	7.2604557491e+00
0	2172	7.3052703466e+00
0	10043	7.3144973458e+00
3	7678	7.3274431747e+00
0	1445	7.3664664276e+00
3	2820	7.4221129858e+00
1	92	7.4269347043e+00
1	16197	7.4354050001e+00
0	4006	7.4366005311e+00
2	1642	7.4586057034e+00
3	5829	7.4701635310e+00
3	1031	7.4877231558e+00
1	4825	7.5095062795e+00
2	13773	7.5428843975e+00
1	2691	7.5547870010e+00
1	6883	7.6127804993e+00
2	360	7.6676116913e+00
0	12671	7.6831215346e+00
2	2478	7.6970557449e+00
1	11273	7.7099174549e+00
3	6268	7.8017923768e+00
1	5935	7.8104385794e+00
3	16585	7.8356730213e+00
0	1268	7.8409734405e+00
1	11085	7.8578603096e+00
2	5745	7.8661587166e+00
2	9373	7.9089395580e+00
3	2299	7.9430555288e+00
0	11471	7.9863808847e+00
0	6562	8.0104007136e+00
2	2294	8.0203118615e+00
1	1618	8.1267341935e+00
0	1800	8.1375114990e+00
3	12541	8.1693620277e+00
1	6431	8.1973628157e+00
