label,quantile,run_log10_s,reference_log10_s,shift_dex,grid,seed,mpi_size
C-g0-s20260722-r4,0.01,1.2183026860532498,1.1934697320005025,0.024832954052747214,0,20260722,4
C-g0-s20260722-r4,0.05,1.9266097979459837,1.943466850837456,-0.016857052891472213,0,20260722,4
C-g0-s20260722-r4,0.1,2.367203415174566,2.3856583394902815,-0.018454924315715715,0,20260722,4
C-g0-s20260722-r4,0.25,3.588347505438089,3.589462831956626,-0.0011153265185370742,0,20260722,4
C-g0-s20260722-r4,0.5,4.235538151286071,4.234375965014967,0.0011621862711042041,0,20260722,4
C-g0-s20260722-r4,0.75,4.909997206663291,4.92987604261806,-0.01987883595476969,0,20260722,4
C-g0-s20260722-r4,0.9,5.684420775361389,5.679785263627418,0.0046355117339702545,0,20260722,4
C-g0-s20260722-r4,0.95,6.183959855280098,6.199334872192218,-0.015375016912120287,0,20260722,4
C-g0-s20260722-r4,0.99,7.2349930122253365,7.37666592630541,-0.14167291408007365,0,20260722,4
C-g0-s20260723-r4,0.01,1.2236676095214538,1.1934697320005025,0.030197877520951266,0,20260723,4
C-g0-s20260723-r4,0.05,1.9272012621762162,1.943466850837456,-0.016265588661239727,0,20260723,4
C-g0-s20260723-r4,0.1,2.357570989562031,2.3856583394902815,-0.02808734992825057,0,20260723,4
C-g0-s20260723-r4,0.25,3.556643697920387,3.589462831956626,-0.03281913403623893,0,20260723,4
C-g0-s20260723-r4,0.5,4.196516959099909,4.234375965014967,-0.037859005915057864,0,20260723,4
C-g0-s20260723-r4,0.75,4.870218870192576,4.92987604261806,-0.059657172425484184,0,20260723,4
C-g0-s20260723-r4,0.9,5.599923317113302,5.679785263627418,-0.07986194651411616,0,20260723,4
C-g0-s20260723-r4,0.95,6.143636369023482,6.199334872192218,-0.05569850316873648,0,20260723,4
C-g0-s20260723-r4,0.99,7.141639128660111,7.37666592630541,-0.23502679764529955,0,20260723,4
C-g0-s20260724-r4,0.01,1.2272662754962764,1.1934697320005025,0.03379654349577388,0,20260724,4
C-g0-s20260724-r4,0.05,1.9638985190153817,1.943466850837456,0.020431668177925744,0,20260724,4
C-g0-s20260724-r4,0.1,2.385553910989182,2.3856583394902815,-0.00010442850109937396,0,20260724,4
C-g0-s20260724-r4,0.25,3.5915111345013266,3.589462831956626,0.0020483025447006753,0,20260724,4
C-g0-s20260724-r4,0.5,4.231197733737538,4.234375965014967,-0.003178231277428445,0,20260724,4
C-g0-s20260724-r4,0.75,4.92194501854873,4.92987604261806,-0.007931024069330661,0,20260724,4
C-g0-s20260724-r4,0.9,5.636040429896013,5.679785263627418,-0.04374483373140503,0,20260724,4
C-g0-s20260724-r4,0.95,6.1388583537658326,6.199334872192218,-0.060476518426385795,0,20260724,4
C-g0-s20260724-r4,0.99,7.103692414963984,7.37666592630541,-0.27297351134142644,0,20260724,4
C-g20-s20260722-r4,0.01,1.1176241900990036,1.1934697320005025,-0.07584554190149895,20,20260722,4
C-g20-s20260722-r4,0.05,1.8216840765819668,1.943466850837456,-0.12178277425548911,20,20260722,4
C-g20-s20260722-r4,0.1,2.2067132017075624,2.3856583394902815,-0.17894513778271914,20,20260722,4
C-g20-s20260722-r4,0.25,3.4031867966272644,3.589462831956626,-0.18627603532936154,20,20260722,4
C-g20-s20260722-r4,0.5,4.105463269497445,4.234375965014967,-0.1289126955175215,20,20260722,4
C-g20-s20260722-r4,0.75,4.8222834903131275,4.92987604261806,-0.10759255230493281,20,20260722,4
