interpolation_points,seeds,mean_n_complete,ks_d_mean,ks_d_range,peak1_log10_s_mean,peak2_log10_s_mean,short_mode_weight_mean,short_mode_weight_range,mean_scatterings_completed,numerical_failure_rate_mean,captured_invalid_fraction_mean
0,3,9964.666666666666,0.0139687558477997,0.00794337874;0.0238907389,2.17866898,4.17583414,0.130294638,0.12819998;0.133661378,3.825410691895348,0.0006914317454491085,0.004595212879842267
20,3,9991.333333333334,0.060687858396286175,0.0543900214;0.0690715004,2.1764132566666667,4.052241716666667,0.163912368,0.158258258;0.174278846,3.9323009469405306,0.0007078413050787888,0.0023629509175273813
1000,3,9966.333333333334,0.014439240861414534,0.0079336804;0.0250265321,2.1890410833333336,4.153242566666666,0.130573855,0.12852413;0.13373494,3.827814244162886,0.0006376832079875136,0.004030626292877652
2000,3,9975.666666666666,0.01417116308484249,0.0083122043;0.0235767707,2.220311166666667,4.13881074,0.12981607933333336,0.127429373;0.133420209,3.8289841759418537,0.000631850125231907,0.0035957097272009734
