label,n_complete,reference_n_complete,duplicate_rank_trajectory_keys,peak_log10_s,reference_peak_log10_s,mode_fractions,reference_mode_fractions,mode_boundaries_log10_s,ks_d,ks_p_value,ks_location_log10_s,mean_scatterings_all_simulated,mean_scatterings_completed,numerical_failure_count,numerical_failure_rate,captured_invalid_rows,captured_invalid_fraction,interpolation_points,base_seed,mpi_size,git_commit,git_dirty,run_file,reference_file
A,11869,10833,0,2.48026316;4.65131579,2.47763158;4.49605263,0.615216109;0.384783891,0.616172805;0.383827195,3.49342105,0.015199995874841443,0.14447988170445325,2.349876940874174,542.026488814994,857.756424298593,2,7.557436517533252e-05,6,0.0005052631578947368,,20260722,4,71f7011-dirty,True,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_secondary_peak_A_10000/results_-2.000000_-32.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-32.000000/evaporation_times.txt
B,10058,10284,0,2.51994681;4.07579787,2.53289474;4.06710526,0.655995228;0.344004772,0.636231039;0.363768961,3.47739362,0.011644364668586094,0.4920049385178912,3.047321654582836,13.693271964262,40.145953469874726,36,0.0009746852578854745,4,0.0003975352812562115,,20260722,4,71f7011-dirty,True,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_secondary_peak_B_10000/results_-2.000000_-34.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-34.000000/evaporation_times.txt
C,9975,10081,0,2.16527778;4.07638889,2.15394737;4.16710526,0.158997494;0.841002506,0.129451443;0.870548557,2.7625,0.05825944685143075,3.102371913551098e-15,4.110111290542591,0.305652069526,3.946466165413534,180,0.0008153983447413602,27,0.0026994601079784043,,20260722,4,71f7011-dirty,True,/Users/funyday/Documents/DaMaSCUS-SUN-EVAP/evaporation_secondary_peak_C_10000/results_-2.000000_-36.000000/evaporation_times.txt,/Users/funyday/Documents/DaMaSCUS-SUN/data/Trajectoies/results_-2.000000_-36.000000/evaporation_times.txt
