label,quantile,run_log10_s,reference_log10_s,shift_dex
A,0.01,0.48290272107970805,0.5353752422201825,-0.05247252114047446
A,0.05,1.1942657666900898,1.2565911109085863,-0.06232534421849656
A,0.1,1.5750045598587346,1.61827107879276,-0.043266518934025555
A,0.25,2.1631094509536766,2.189788914529346,-0.026679463575669526
A,0.5,2.853936394217212,2.9025900690000968,-0.04865367478288496
A,0.75,4.42759297411472,4.392490383452592,0.035102590662128286
A,0.9,5.230253526754791,5.167575951578997,0.06267757517579398
A,0.95,5.686095731964331,5.661338788374843,0.024756943589487435
A,0.99,6.737943457952491,6.772427515285945,-0.03448405733345439
B,0.01,0.42933944267274493,0.47609754288585937,-0.04675810021311444
B,0.05,1.189015034466292,1.2016181577115561,-0.012603123245264136
B,0.1,1.5631490200868998,1.577386048559791,-0.014237028472891211
B,0.25,2.13424158168171,2.1327866879860347,0.0014548936956755298
B,0.5,2.7269139684041823,2.746631216977086,-0.01971724857290358
B,0.75,4.0287282472770105,4.047377675614315,-0.018649428337304208
B,0.9,4.905310789897689,4.930807266718611,-0.02549647682092271
B,0.95,5.424425017839521,5.473672507952425,-0.049247490112903414
B,0.99,6.582442214315707,6.592460539086786,-0.010018324771079001
C,0.01,1.1166509042278574,1.1934697320005025,-0.07681882777264515
C,0.05,1.8188054184548168,1.943466850837456,-0.12466143238263916
C,0.1,2.2066163979329887,2.3856583394902815,-0.1790419415572928
C,0.25,3.4046742964815975,3.589462831956626,-0.1847885354750285
C,0.5,4.1059380564667975,4.234375965014967,-0.12843790854816906
C,0.75,4.824392963164852,4.92987604261806,-0.105483079453208
C,0.9,5.561052610216717,5.679785263627418,-0.11873265341070116
C,0.95,6.0783858085814995,6.199334872192218,-0.12094906361071889
C,0.99,7.01727377434383,7.37666592630541,-0.3593921519615799
